graph_name,demand_model,weight_mode,total_inventory,inventory_placement,fulfillment_algorithm,reward
complete,indep,uniform,60,fluid_lp_rounding_withscaling,myopic,44.28908131267197
complete,indep,uniform,60,fluid_lp_rounding_withscaling,fluid_with_rejections,42.75030790072331
complete,indep,uniform,60,fluid_lp_rounding_withscaling,offline_with_rejections,44.28804539564019
complete,indep,uniform,60,fluid_lp_rounding_withscaling,fluid_with_rejections_resolving,44.27046680020188
complete,indep,uniform,60,fluid_lp_rounding_withscaling,offline_with_rejections_resolving,44.49518678033356
complete,indep,uniform,60,myopic_greedy,offline,45.46629352452984
complete,indep,uniform,60,myopic_greedy,myopic,44.31517685248202
complete,indep,uniform,60,myopic_greedy,fluid_with_rejections,42.818274540419715
complete,indep,uniform,60,myopic_greedy,offline_with_rejections,44.315693394101515
complete,indep,uniform,60,myopic_greedy,fluid_with_rejections_resolving,44.15772438530528
complete,indep,uniform,60,myopic_greedy,offline_with_rejections_resolving,44.50700830098775
complete,indep,uniform,75,offline_relaxation,,49.308444838473186
complete,indep,uniform,75,offline_lp_rounding,offline,49.30829347834821
complete,indep,uniform,75,offline_lp_rounding,myopic,48.639638182339354
complete,indep,uniform,75,offline_lp_rounding,fluid_with_rejections,48.639638182339354
complete,indep,uniform,75,offline_lp_rounding,offline_with_rejections,48.639638182339354
complete,indep,uniform,75,offline_lp_rounding,fluid_with_rejections_resolving,48.59851488872533
complete,indep,uniform,75,offline_lp_rounding,offline_with_rejections_resolving,48.808324079835394
complete,indep,uniform,75,fluid_lp_rounding,offline,48.81229233650458
complete,indep,uniform,75,fluid_lp_rounding,myopic,48.149782948663706
complete,indep,uniform,75,fluid_lp_rounding,fluid_with_rejections,47.646588894943676
complete,indep,uniform,75,fluid_lp_rounding,offline_with_rejections,48.179243306415316
complete,indep,uniform,75,fluid_lp_rounding,fluid_with_rejections_resolving,47.85274684052865
complete,indep,uniform,75,fluid_lp_rounding,offline_with_rejections_resolving,48.30887196898204
complete,indep,uniform,75,fluid_lp_rounding_withscaling,offline,49.24237111026853
complete,indep,uniform,75,fluid_lp_rounding_withscaling,myopic,48.63455049080119
complete,indep,uniform,75,fluid_lp_rounding_withscaling,fluid_with_rejections,48.63455049080119
